MOF,O2,N2,CO2,CH4,H2,He
VICYUD_clean,2094939.251911924,1594859.0299792825,1343041.565540769,668028.2282898797,,13248972.306009158
VIDVUB_clean,3870827.562346593,9816752.677834462,2219453.0377260493,,,
VIDWAI_clean,2736581.092115379,2324061.8972698622,1989205.0068926816,243627.01304384833,,11999892.756477231
VIDWIQ_clean,1877900.9460499547,966473.3183549055,931922.2792711137,166627.89287333185,,6444143.503656419
VIGDIY_clean,585902.6745500652,276791.965066998,282885.6039693335,,,
VIGNOQ_clean,,,,,11454932.287755938,
VIGRIO_clean,771262.1754674334,664479.2220036895,441581.7489972301,8083.746051086005,4740578.949025389,4058027.5262820916
VILXOE_clean,1620044.9093006684,1192772.3125656224,1194998.7450443304,362569.05822039134,,8070888.271126151
VIMRAM_clean,3799191.867575923,3069814.3942237245,2334684.8928055167,,,28075826.176347103
VINHEH_charged,761462.6578743965,325769.1740397523,339750.1925563265,60542.59412050251,,3906080.9697181066
VINHIL_clean,,10955159.159124888,2615970.215212455,,,
VIPXUO_clean,,471920.0404588542,,,,3123225.017174376
VIPYOK_clean,2328611.200337935,1613652.355562458,1506560.0929841262,461847.963984416,,12579103.240763446
VIPZAX_clean,1418332.9579281684,663614.6239762759,,244594.08227342358,,5969710.001078988
VIQQUJ_clean,,1387226.6141989399,1230819.4320265998,,,
VIRKIQ_clean,5067525.354522591,7264717.993718893,5923791.898591117,5177341.75467298,,19581691.40873449
VIRQES_clean,8026298.562982864,8782976.898246232,4739986.44443711,2633567.300668867,,91967588.2672741
VIRVEY_clean,12158826.60735702,9657005.627485208,5727595.302203249,,,58262030.15554464
VIRXIF_clean,1488021.0744395482,1248666.6533389848,1166800.9109534502,647237.3695727055,,10137539.401413796
VIWHUG_clean,615496.4487313501,331053.4890949118,319248.01385726087,,,2831146.7491438026
VIWKIX_clean,2143615.6498654922,1902329.8264217118,1219953.0097709084,946014.0033828231,,27289513.78427506
VIWLIY_clean,1391060.0715601232,883104.1473032706,812355.4645565813,,,11481851.04025077
VIWQUP_clean,2993994.062312377,2610468.653296475,1957774.3716849012,,,14766311.304636838
VIWRAW_clean,5462212.537493511,13168714.24806596,1175903.0329741715,2096686.239547634,72582754.39108929,65049707.42704575
VIWZOR_clean,3545468.0123210778,2706903.592238745,2246409.393347961,1129160.3458716234,,24856741.388141982
VIXCUB_clean,7441523.461859957,5610530.638764309,3826176.7878400153,2582159.257429882,,53016765.37718795
VIXGAM01_clean,,,,,,10936660.533671876
VIXGAM_clean,,1104773.1695931212,,2645849.028907643,,11882711.983246304
VIXGEQ_clean,,1089780.6404746352,,1564533.7714560041,,8527756.670779776
